Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date
ASM165238v2	GCF_001652385.2	Salmonella enterica		CFSAN033950				From INSDC submitter	4930422	Complete Genome	2021-06-07
ASM183155v2	GCF_001831555.2	Salmonella enterica		CFSAN044865				From INSDC submitter	5084052	Complete Genome	2021-06-07
ASM183171v2	GCF_001831715.2	Salmonella enterica		CFSAN044875				From INSDC submitter	5004869	Complete Genome	2021-06-07
ASM183191v2	GCF_001831915.2	Salmonella enterica		CFSAN044885				From INSDC submitter	4879725	Complete Genome	2021-06-07
ASM183198v2	GCF_001831985.2	Salmonella enterica		CFSAN044888				From INSDC submitter	4892473	Complete Genome	2021-06-10
ASM183330v2	GCF_001833305.2	Salmonella enterica		CFSAN044925				From INSDC submitter	4754349	Complete Genome	2021-06-07
ASM183496v2	GCF_001834965.2	Salmonella enterica		CFSAN044945				From INSDC submitter	5008883	Complete Genome	2021-06-07
ASM250771v2	GCF_002507715.2	Salmonella enterica		CFSAN064276				From INSDC submitter	4806207	Complete Genome	2021-06-07
ASM250774v2	GCF_002507745.2	Salmonella enterica		CFSAN060808				From INSDC submitter	4660570	Complete Genome	2021-06-07
ASM250786v2	GCF_002507865.2	Salmonella enterica		CFSAN060809				From INSDC submitter	4484627	Complete Genome	2021-06-07
ASM250787v2	GCF_002507875.2	Salmonella enterica		CFSAN060807				From INSDC submitter	4753965	Complete Genome	2021-06-07
ASM250791v2	GCF_002507915.2	Salmonella enterica		CFSAN060804				From INSDC submitter	4902428	Complete Genome	2021-06-07
ASM387221v2	GCF_003872215.1	Salmonella enterica		CFSAN029939				From INSDC submitter	5183854	Complete Genome	2021-05-24
ASM387239v2	GCF_003872395.1	Salmonella enterica		CFSAN029945				From INSDC submitter	4680419	Complete Genome	2021-05-24
ASM387262v2	GCF_003872625.1	Salmonella enterica		CFSAN029895				From INSDC submitter	4991210	Complete Genome	2021-06-07
ASM411823v1	GCF_004118235.1	Salmonella enterica		CFSAN074583				From INSDC submitter	4794820	Contig	2019-01-29
ASM411839v1	GCF_004118395.1	Salmonella enterica		CFSAN074596				From INSDC submitter	4756562	Contig	2019-01-29
ASM411840v1	GCF_004118405.1	Salmonella enterica		CFSAN074588				From INSDC submitter	4803491	Contig	2019-01-29
ASM411843v1	GCF_004118435.1	Salmonella enterica		CFSAN074591				From INSDC submitter	4926195	Contig	2019-01-29
ASM411845v1	GCF_004118455.1	Salmonella enterica		CFSAN074587				From INSDC submitter	4806721	Contig	2019-01-29
ASM411846v1	GCF_004118465.1	Salmonella enterica		CFSAN074594				From INSDC submitter	4922997	Contig	2019-01-29
ASM411849v1	GCF_004118495.1	Salmonella enterica		CFSAN074586				From INSDC submitter	4806918	Contig	2019-01-29
ASM411851v1	GCF_004118515.1	Salmonella enterica		CFSAN074590				From INSDC submitter	4903768	Contig	2019-01-29
ASM411852v1	GCF_004118525.1	Salmonella enterica		CFSAN074589				From INSDC submitter	4805072	Contig	2019-01-29
ASM411855v1	GCF_004118555.1	Salmonella enterica		CFSAN074582				From INSDC submitter	4806002	Contig	2019-01-29
ASM411859v1	GCF_004118595.1	Salmonella enterica		CFSAN074592				From INSDC submitter	4920624	Contig	2019-01-29
ASM411869v1	GCF_004118695.1	Salmonella enterica		CFSAN074576				From INSDC submitter	4843178	Contig	2019-01-29
ASM411870v1	GCF_004118705.1	Salmonella enterica		CFSAN074556				From INSDC submitter	4756686	Contig	2019-01-29
ASM411871v1	GCF_004118715.1	Salmonella enterica		CFSAN074577				From INSDC submitter	4845591	Contig	2019-01-29
ASM411874v1	GCF_004118745.1	Salmonella enterica		CFSAN074557				From INSDC submitter	4759636	Contig	2019-01-29
ASM411875v1	GCF_004118755.1	Salmonella enterica		CFSAN074558				From INSDC submitter	4759746	Contig	2019-01-29
ASM411879v1	GCF_004118795.1	Salmonella enterica		CFSAN074560				From INSDC submitter	4753739	Contig	2019-01-29
ASM411881v1	GCF_004118815.1	Salmonella enterica		CFSAN074554				From INSDC submitter	4919721	Contig	2019-01-29
ASM411882v1	GCF_004118825.1	Salmonella enterica		CFSAN074555				From INSDC submitter	4763990	Contig	2019-01-29
ASM411903v1	GCF_004119035.1	Salmonella enterica		CFSAN074597				From INSDC submitter	4765619	Contig	2019-01-29
ASM411904v1	GCF_004119045.1	Salmonella enterica		CFSAN074593				From INSDC submitter	4924920	Contig	2019-01-29
ASM411906v1	GCF_004119065.1	Salmonella enterica		CFSAN074598				From INSDC submitter	4762025	Contig	2019-01-29
ASM411907v1	GCF_004119075.1	Salmonella enterica		CFSAN074584				From INSDC submitter	4804792	Contig	2019-01-29
ASM411908v1	GCF_004119085.1	Salmonella enterica		CFSAN074595				From INSDC submitter	4760056	Contig	2019-01-29
ASM411913v1	GCF_004119135.1	Salmonella enterica		CFSAN074578				From INSDC submitter	4847731	Contig	2019-01-29
ASM411915v1	GCF_004119155.1	Salmonella enterica		CFSAN074559				From INSDC submitter	4763715	Contig	2019-01-29
ASM412055v1	GCF_004120555.1	Salmonella enterica		192_17				From INSDC submitter	4538441	Contig	2019-01-30
ASM412057v1	GCF_004120575.1	Salmonella enterica		72_18				From INSDC submitter	4836364	Contig	2019-01-30
ASM412058v1	GCF_004120585.1	Salmonella enterica		170_17				From INSDC submitter	4785391	Contig	2019-01-30
ASM412059v1	GCF_004120595.1	Salmonella enterica		185_14				From INSDC submitter	4720925	Contig	2019-01-30
ASM412065v1	GCF_004120655.1	Salmonella enterica		169_11				From INSDC submitter	4689775	Contig	2019-01-30
ASM412070v1	GCF_004120705.1	Salmonella enterica		192_16				From INSDC submitter	4686759	Contig	2019-01-30
ASM412071v1	GCF_004120715.1	Salmonella enterica		470_11				From INSDC submitter	4731530	Contig	2019-01-30
